Sites;Apareiodon_ibitiensis;Apareiodon_piracicabae;Astyanax_lacustris;Astyanax_bockmanni;Astyanax_fasciatus;Astyanax_paranae;Astyanax_sp1;Astyanax_sp2;Bryconamericus_iheringii;Bryconamericus_turiuba;Cetopsorhamdia_iheringi;Characidium_zebra;Characidium_gomesi;Corumbataia_cuestae;Corydoras_aeneus;Corydoras_flaveolus;Eigenmania_trilineata;Geophagus_brasiliensis;Gymnotus_sylvius;Hisonotus_francirochai;Hoplias_malabaricus;Hyphessobrycon_anisitsi;Hyphessobrycon_bifasciatus;Hypostomus_ancistroides;Hypostomus_nigromaculatus;Hypostomus_strigaticeps;Hypostomus_sp;Imparfinis_borodini;Imparfinis_mirini;Neoplecostomus_paranaensis;Oligosarcus_paranaensis;Oreochromis_niloticus;Parodon_nasus;Phalloceros_harpagos;Piabina_argentea;Pimelodella_brasiliensis;Poecilia_reticulata;Rhamdia_quelen;Rineloricaria_latirostris;Serrapinnus_heterodon;Serrapinnus_notomelas;Serrapinnus_sp;Steindachnerina_insculpta;Synbranchus_marmoratus;Trichomycterus_sp
P1289;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;7
P1292;0;0;0;0;0;8;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;52
P1294;0;0;0;0;0;3;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
P1295;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1297;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1298;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0
P1299;0;0;0;0;0;11;0;0;0;0;2;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1303;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1304;0;0;0;0;0;2;0;0;0;0;0;2;0;25;0;0;0;1;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;13
P1307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0
P1311;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
P1312;0;0;0;0;0;18;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1313;4;0;0;5;0;9;0;7;12;0;2;3;0;2;0;0;0;0;0;0;0;0;0;1;3;0;0;13;6;0;0;0;0;221;0;0;0;6;0;2;0;0;0;0;2
P1314;0;0;0;1;0;18;0;26;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;117;0;0;0;1;0;2;0;0;0;0;0
P1317;0;0;0;0;0;3;0;0;0;0;1;2;0;17;0;0;0;1;0;0;0;0;0;1;0;0;0;0;12;0;0;0;0;24;2;0;0;1;0;0;0;0;0;0;14
P1319;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1320;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
P1321;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;88;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0
P1322;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0
P1323;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1324;0;0;0;0;0;0;0;0;8;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1325;0;0;0;0;0;17;0;0;0;0;23;61;0;26;0;0;0;0;4;0;0;0;0;4;2;5;0;0;6;0;0;0;0;0;0;0;6;8;0;0;0;0;0;0;58
P1326;2;0;0;1;0;0;0;0;3;0;3;95;0;36;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0;0;9;6;0;0;0;2;0;0;0;0;0;0;98
P1343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
P1346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2
P1348;0;0;0;0;0;11;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48
P1349;0;0;0;0;0;3;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;12
P1350;0;1;2;0;3;2;0;0;1;0;0;15;0;11;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0
P1351;1;0;0;0;0;7;0;0;4;0;1;3;0;22;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;25
P1352;0;0;0;0;0;11;0;0;9;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
